종목,날짜,하락_P10_원,기준_P50_원,상승_P90_원,기준종가_원,기준수익률_pct,분석기준일
현대차,2026-09-30,313700,379400,458700,382500.0,-0.82,2026-09-11
현대차,2026-10-31,275000,374300,509400,382500.0,-2.14,2026-09-11
현대차,2026-11-30,250200,369500,545600,382500.0,-3.4,2026-09-11
현대차,2026-12-31,230300,364600,577000,382500.0,-4.69,2026-09-11
SK하이닉스,2026-09-30,1351400,1842500,2512000,1812000.0,1.68,2026-09-11
SK하이닉스,2026-10-31,1145000,1893300,3130400,1812000.0,4.48,2026-09-11
SK하이닉스,2026-11-30,1029000,1943700,3671800,1812000.0,7.27,2026-09-11
SK하이닉스,2026-12-31,944200,1997300,4225100,1812000.0,10.23,2026-09-11
삼성전자,2026-09-30,201700,261600,339300,259500.0,0.82,2026-09-11
삼성전자,2026-10-31,173900,265200,404300,259500.0,2.18,2026-09-11
삼성전자,2026-11-30,157500,268600,457900,259500.0,3.51,2026-09-11
삼성전자,2026-12-31,145200,272200,510300,259500.0,4.9,2026-09-11
